"Date","Total views","Unique viewers","Average watch time","Top viewer count"
"Jul 11, 2023","0","0","0","0"
"Jul 12, 2023","820","751","2","41"
"Jul 13, 2023","20215","18465","23","3348"
"Jul 14, 2023","206705","176242","77","6319"
"Jul 15, 2023","0","0","0","0"
"Jul 16, 2023","0","0","0","0"
"Jul 17, 2023","0","0","0","0"
"Jul 18, 2023","0","0","0","0"
"Jul 19, 2023","0","0","0","0"
"Jul 20, 2023","0","0","0","0"
"Jul 21, 2023","0","0","0","0"
"Jul 22, 2023","0","0","0","0"
"Jul 23, 2023","0","0","0","0"
"Jul 24, 2023","0","0","0","0"
"Jul 25, 2023","0","0","0","0"
"Jul 26, 2023","0","0","0","0"
"Jul 27, 2023","2152","1844","48","873"
"Jul 28, 2023","125517","108620","65","6681"
"Jul 29, 2023","0","0","0","0"
"Jul 30, 2023","0","0","0","0"
"Jul 31, 2023","0","0","0","0"
"Aug 1, 2023","0","0","0","0"
"Aug 2, 2023","0","0","0","0"
"Aug 3, 2023","0","0","0","0"
"Aug 4, 2023","0","0","0","0"
"Aug 5, 2023","0","0","0","0"
"Aug 6, 2023","0","0","0","0"
"Aug 7, 2023","0","0","0","0"
"Aug 8, 2023","0","0","0","0"
"Aug 9, 2023","0","0","0","0"
"Aug 10, 2023","7482","6896","13","2574"
"Aug 11, 2023","148500","125149","76","5811"
"Aug 12, 2023","0","0","0","0"
"Aug 13, 2023","0","0","0","0"
"Aug 14, 2023","0","0","0","0"
"Aug 15, 2023","0","0","0","0"
"Aug 16, 2023","0","0","0","0"
"Aug 17, 2023","0","0","0","0"
"Aug 18, 2023","0","0","0","0"
"Aug 19, 2023","0","0","0","0"
"Aug 20, 2023","0","0","0","0"
"Aug 21, 2023","0","0","0","0"
"Aug 22, 2023","0","0","0","0"
"Aug 23, 2023","0","0","0","0"
"Aug 24, 2023","8","5","0","734"
"Aug 25, 2023","207273","173695","80","7906"
"Aug 26, 2023","0","0","0","0"
"Aug 27, 2023","0","0","0","0"
"Aug 28, 2023","0","0","0","0"
"Aug 29, 2023","0","0","0","0"
"Aug 30, 2023","0","0","0","0"
"Aug 31, 2023","0","0","0","0"
"Sep 1, 2023","0","0","0","0"
"Sep 2, 2023","0","0","0","0"
"Sep 3, 2023","0","0","0","0"
"Sep 4, 2023","0","0","0","0"
"Sep 5, 2023","0","0","0","0"
"Sep 6, 2023","0","0","0","0"
"Sep 7, 2023","16020","14599","23","4228"
"Sep 8, 2023","155032","133659","55","5736"